name,price,nation,seed
Luke Humphries,1234.5,England,1
Luke Littler,1102.3,England,2
Michael van Gerwen,1478.6,Netherlands,3
Stephen Bunting,1019.2,England,4
James Wade,987.4,England,5
Jonny Clayton,1008.7,Wales,6
Rob Cross,1130.1,England,7
Josh Rock,1044.2,Northern Ireland,8
Chris Dobey,982.9,England,9
Danny Noppert,1145.3,Netherlands,10
Gerwyn Price,1208.8,Wales,11
Damon Heta,986.1,Australia,12
Gary Anderson,1042.7,Scotland,13
Ross Smith,935.5,England,14
Gian van Veen,998.9,Netherlands,15
Martin Schindler,910.2,Germany,16
Dave Chisnall,1123.3,England,17
Peter Wright,1199.7,Scotland,18
Ryan Searle,1022.8,England,19
Mike De Decker,987.2,Belgium,20
Dimitri Van den Bergh,1155.4,Belgium,21
Jermaine Wattimena,953.8,Netherlands,22
Nathan Aspinall,1001.6,England,23
Ryan Joyce,951.4,England,24
Daryl Gurney,1045.5,Northern Ireland,25
Ritchie Edhouse,978.2,England,26
Michael Smith,1288.9,England,27
Luke Woodhouse,943.6,England,28
Cameron Menzies,987.7,Scotland,29
Dirk van Duijvenbode,1120.5,Netherlands,30
Andrew Gilding,933.4,England,31
Joe Cullen,1002.2,England,32
Ricardo Pietreczko,888.5,Germany,33
Raymond van Barneveld,1066.3,Netherlands,34
Krzysztof Ratajski,970.8,Poland,35
Scott Williams,945.7,England,36
Wessel Nijman,927.6,Netherlands,37
Brendan Dolan,974.2,Northern Ireland,38
Martin Lukeman,905.5,England,39
Gabriel Clemens,962.1,Germany,40
Niko Springer,877.3,Germany,41
Niels Zonneveld,889.4,Netherlands,42
William O'Connor,932.5,Ireland,43
Kevin Doets,901.2,Netherlands,44
Karel Sedlacek,890.7,Czech Republic,45
Bradley Brooks,883.6,England,46
Kim Huybrechts,958.4,Belgium,47
Callan Rydz,968.8,England,48
Mickey Mansell,909.1,Northern Ireland,49
Jeffrey De Graaf,876.2,Netherlands,50
Mario Vandenbogaerde,952.3,Belgium,51
Ian White,925.4,England,52
Sebastian Bialecki,894.5,Poland,53
Madars Razma,938.7,Latvia,54
Mensur Suljovic,948.6,Austria,55
Alan Soutar,901.8,Scotland,56
Dom Taylor,872.3,England,57
Richard Veenstra,905.6,Netherlands,58
Cam Crabtree,890.2,England,59
Thibault Tricole,865.4,France,60
Darren Beveridge,874.8,Scotland,61
Ryan Meikle,903.1,England,62
Lukas Wenig,868.7,Germany,63
James Hurrell,911.9,England,64
Nick Kenny,877.9,Wales,65
Matthew Dennant,856.2,England,66
Steve Lennon,933.8,Ireland,67
Dominik Gruellich,866.1,Germany,68
Ricky Evans,882.5,England,69
Keane Barry,910.7,Ireland,70
Max Hopp,925.9,Germany,71
Chris Landman,897.4,Netherlands,72
Justin Hood,878.3,England,73
Wesley Plaisier,894.8,Netherlands,74
Darius Labanauskas,902.7,Lithuania,75
Adam Lipscombe,871.6,England,76
Matt Campbell,915.4,Canada,77
Connor Scutt,864.9,England,78
Owen Bates,855.8,England,79
Stephen Burton,867.3,England,80
